from_id:start_id,to_id:end_id,amount:int,year:int
1366,3490,7950,1990
9296,772,3650,2010
6019,9908,1750,1990
8114,8954,6650,2010
67,9640,8050,1990
2199,7968,6250,2000
4194,1964,1650,2010
3009,2688,2950,1990
913,5361,4950,1990
5442,2047,2450,2000
7149,6777,1550,2010
6950,2922,6250,2010
8655,4160,650,2010
761,800,4450,2010
3108,8332,3950,1990
875,2484,550,1990
746,3808,7150,2010
5948,4236,3650,2010
5339,8407,5650,2000
6440,1494,2050,2000
3017,8840,9150,2010
2048,3832,9450,2000
2560,579,4050,2010
9995,69,7750,1990
3414,1393,2450,2000
4351,26,5650,2010
6824,4638,6750,1990
5482,7924,850,2010
4977,4599,8150,2000
1629,6094,4750,1990
7039,3925,2150,1990
8703,3424,5150,1990
7356,6424,8950,1990
6943,1383,750,2000
6432,3559,9250,1990
8535,2912,2450,2000
7526,8439,4750,2010
191,898,8050,2000
3176,7036,1550,2010
6266,560,2950,2000
2228,3026,1650,1990
9565,6747,1050,1990
1037,855,9250,2000
2077,6100,9150,1990
6892,6919,7550,1990
1335,534,5750,1990
8792,5359,1950,1990
1321,188,7450,1990
8953,3916,9650,1990
7991,6147,7650,2000
6922,8117,9450,2000
8034,7697,8250,2000
6742,2005,3950,2010
7366,7591,1650,1990
2214,4618,2850,2000
9387,5142,9950,2000
3597,957,4850,2000
2973,2659,7550,1990
3499,5522,6950,2010
6658,4208,4250,2000
7221,8789,9050,1990
3905,7116,2850,1990
7705,7441,5050,1990
6619,1996,8850,2010
4729,1921,9950,2000
8961,7754,8350,2000
4157,7236,8550,2010
1875,8692,4450,1990
8132,7904,4450,2010
8182,1790,9650,2000
6803,2162,6750,1990
5094,5618,9950,2010
2136,9383,2550,2000
2282,3146,7450,2000
698,6432,4450,2010
6529,4753,8250,2010
2437,3416,6950,2000
6326,2384,1150,2000
6393,5760,8150,2010
6477,6183,2950,2000
886,8786,2650,2000
4133,9269,650,2000
1347,7270,9850,2010
7199,9076,550,2010
6757,8865,950,1990
5266,4104,5050,1990
2315,3404,5150,2000
8009,2009,8650,2000
5067,3174,6950,1990
7179,3660,9350,2010
8520,8889,3550,1990
7748,2922,2350,2000
1705,6599,9150,2000
3178,3915,4950,2000
9335,3600,350,1990
4953,4780,5750,2010
9666,3638,9650,1990
7067,8043,550,2000
864,586,7550,2000
3414,870,7350,2010
6726,3564,8450,2000
2849,8459,9950,2010
1054,7666,6650,1990
3928,6090,8450,2010
7348,8218,1650,1990
1119,8966,3450,1990
1076,6975,9650,2010
3565,8122,5850,2000
5296,5538,2250,1990
4310,9679,2350,1990
6364,7491,4950,2000
