id:id,city:string,state,country:string
0,city19,state8,country2
1,city13,state6,country0
2,city3,state4,country2
3,city18,state7,country2
4,city3,state9,country4
5,city11,state3,country0
6,city19,state0,country4
7,city8,state5,country3
8,city12,state6,country3
9,city11,state7,country2
10,city11,state4,country3
11,city14,state3,country1
12,city17,state9,country2
13,city8,state5,country2
14,city12,state5,country3
15,city7,state1,country4
16,city19,state5,country1
17,city7,state7,country4
18,city0,state1,country3
19,city7,state4,country3
20,city3,state1,country1
21,city17,state3,country0
22,city11,state4,country1
23,city1,state9,country2
24,city11,state4,country1
25,city12,state0,country4
26,city1,state3,country4
27,city15,state9,country1
28,city17,state6,country0
29,city11,state7,country3
30,city9,state6,country3
31,city15,state3,country3
32,city3,state6,country4
33,city17,state2,country0
34,city14,state2,country3
35,city7,state2,country3
36,city14,state9,country1
37,city2,state5,country3
38,city18,state7,country4
39,city5,state0,country4
40,city2,state7,country4
41,city8,state0,country1
42,city12,state6,country2
43,city5,state0,country1
44,city2,state9,country0
45,city3,state7,country0
46,city10,state4,country2
47,city0,state2,country1
48,city6,state3,country4
49,city17,state3,country3
50,city17,state4,country1
51,city18,state5,country1
52,city2,state0,country4
53,city7,state9,country3
54,city3,state5,country1
55,city9,state0,country0
56,city15,state9,country4
57,city0,state4,country2
58,city2,state8,country3
59,city17,state2,country2
60,city7,state7,country2
61,city0,state4,country1
62,city14,state7,country1
63,city2,state2,country1
64,city15,state4,country2
65,city9,state1,country0
66,city8,state8,country4
67,city10,state8,country1
68,city18,state5,country2
69,city13,state2,country4
70,city0,state6,country3
71,city19,state8,country0
72,city1,state3,country1
73,city5,state9,country1
74,city0,state0,country1
75,city3,state8,country0
76,city3,state0,country3
77,city11,state5,country4
78,city4,state9,country3
79,city17,state6,country3
80,city2,state7,country3
81,city9,state1,country0
82,city2,state7,country2
83,city10,state8,country4
84,city7,state0,country2
85,city9,state3,country3
86,city8,state3,country2
87,city5,state2,country2
88,city9,state5,country2
89,city4,state7,country2
90,city11,state8,country4
91,city19,state8,country0
92,city12,state7,country2
93,city6,state0,country4
94,city11,state0,country4
95,city14,state0,country1
96,city8,state1,country4
97,city11,state6,country4
98,city5,state7,country3
99,city11,state0,country4
100,city9,state4,country3
101,city6,state9,country4
102,city3,state7,country1
103,city10,state7,country3
104,city1,state7,country0
105,city4,state1,country0
106,city13,state8,country3
107,city3,state6,country4
108,city5,state5,country1
109,city6,state9,country3
110,city11,state6,country3
111,city5,state9,country2
112,city13,state9,country0
113,city14,state3,country4
114,city11,state1,country4
115,city0,state5,country1
116,city3,state8,country1
117,city12,state8,country4
118,city13,state0,country2
119,city15,state2,country1
120,city9,state7,country2
121,city7,state5,country1
122,city6,state1,country1
123,city13,state7,country4
124,city10,state0,country3
125,city9,state2,country0
126,city9,state7,country0
127,city7,state2,country0
128,city14,state4,country1
129,city18,state8,country0
130,city10,state1,country2
131,city5,state5,country3
132,city17,state0,country2
133,city16,state5,country2
134,city18,state9,country4
135,city0,state3,country4
136,city0,state5,country0
137,city1,state8,country0
138,city14,state6,country3
139,city11,state8,country4
140,city14,state6,country3
141,city11,state9,country1
142,city5,state1,country3
143,city4,state2,country0
144,city2,state1,country2
145,city8,state2,country3
146,city9,state9,country0
147,city12,state8,country2
148,city0,state3,country3
149,city16,state5,country2
150,city16,state9,country4
151,city3,state9,country0
152,city8,state1,country2
153,city2,state4,country1
154,city6,state0,country4
155,city17,state8,country3
156,city19,state8,country4
157,city10,state5,country0
158,city3,state0,country0
159,city9,state5,country2
160,city17,state0,country4
161,city18,state5,country3
162,city0,state7,country2
163,city14,state4,country4
164,city18,state9,country0
165,city14,state9,country2
166,city9,state5,country2
167,city19,state0,country1
168,city2,state9,country1
169,city14,state1,country2
170,city12,state4,country4
171,city14,state5,country2
172,city4,state1,country0
173,city9,state4,country1
174,city6,state1,country3
175,city3,state1,country3
176,city6,state5,country0
177,city15,state5,country3
178,city17,state6,country3
179,city12,state0,country4
180,city1,state6,country3
181,city1,state2,country4
182,city2,state0,country3
183,city6,state7,country1
184,city11,state8,country2
185,city3,state3,country4
186,city19,state3,country0
187,city4,state1,country2
188,city15,state3,country1
189,city6,state8,country2
190,city10,state1,country0
191,city18,state8,country4
192,city5,state4,country3
193,city7,state6,country3
194,city8,state5,country2
195,city6,state4,country0
196,city2,state8,country4
197,city15,state6,country3
198,city8,state1,country1
199,city8,state0,country1
200,city12,state1,country2
201,city3,state9,country3
202,city1,state1,country4
203,city3,state0,country0
204,city15,state3,country3
205,city15,state9,country1
206,city13,state3,country2
207,city7,state4,country1
208,city16,state0,country1
209,city13,state1,country0
210,city13,state7,country0
211,city13,state4,country0
212,city13,state0,country2
213,city17,state4,country4
214,city14,state0,country4
215,city2,state1,country1
216,city5,state7,country1
217,city17,state3,country4
218,city0,state2,country3
219,city6,state0,country0
220,city2,state8,country1
221,city9,state6,country2
222,city4,state4,country4
223,city1,state4,country2
224,city10,state7,country1
225,city11,state2,country4
226,city12,state3,country0
227,city2,state7,country4
228,city10,state9,country0
229,city12,state8,country2
230,city18,state1,country3
231,city1,state6,country4
232,city6,state1,country0
233,city13,state4,country1
234,city18,state9,country1
235,city5,state6,country0
236,city16,state0,country4
237,city18,state4,country1
238,city16,state9,country1
239,city15,state4,country0
240,city3,state7,country2
241,city5,state1,country4
242,city5,state5,country1
243,city2,state2,country0
244,city3,state4,country0
245,city11,state8,country0
246,city15,state2,country0
247,city5,state1,country3
248,city2,state7,country0
249,city11,state0,country4
250,city13,state2,country0
251,city19,state5,country0
252,city6,state0,country0
253,city4,state4,country3
254,city13,state6,country0
255,city3,state6,country0
256,city11,state8,country1
257,city19,state1,country2
258,city12,state3,country2
259,city11,state2,country0
260,city16,state1,country0
261,city18,state6,country3
262,city11,state2,country3
263,city0,state6,country2
264,city4,state5,country2
265,city0,state2,country3
266,city5,state9,country3
267,city12,state6,country4
268,city3,state8,country3
269,city12,state9,country3
270,city4,state6,country0
271,city9,state3,country3
272,city19,state0,country1
273,city17,state2,country1
274,city5,state4,country0
275,city12,state4,country1
276,city9,state5,country3
277,city11,state6,country3
278,city2,state3,country4
279,city17,state0,country3
280,city9,state1,country4
281,city19,state6,country3
282,city8,state0,country4
283,city16,state2,country2
284,city17,state9,country3
285,city5,state3,country4
286,city14,state3,country4
287,city14,state4,country4
288,city11,state5,country2
289,city3,state1,country3
290,city6,state4,country1
291,city12,state5,country2
292,city19,state1,country4
293,city8,state7,country4
294,city5,state1,country4
295,city13,state6,country4
296,city12,state1,country0
297,city7,state0,country3
298,city16,state6,country0
299,city11,state6,country2
300,city9,state6,country0
301,city16,state5,country3
302,city6,state7,country0
303,city18,state0,country4
304,city16,state8,country2
305,city10,state9,country2
306,city15,state1,country0
307,city7,state0,country2
308,city19,state6,country4
309,city10,state3,country2
310,city11,state4,country1
311,city4,state1,country2
312,city8,state3,country3
313,city10,state0,country3
314,city9,state9,country4
315,city9,state1,country1
316,city11,state7,country1
317,city5,state0,country0
318,city19,state9,country4
319,city11,state0,country2
320,city7,state9,country1
321,city6,state0,country4
322,city0,state6,country2
323,city16,state8,country3
324,city12,state5,country3
325,city0,state9,country4
326,city10,state0,country3
327,city2,state6,country2
328,city14,state7,country3
329,city14,state9,country4
330,city18,state1,country1
331,city1,state4,country2
332,city14,state9,country0
333,city16,state1,country0
334,city19,state1,country3
335,city10,state3,country3
336,city10,state8,country2
337,city1,state7,country2
338,city10,state6,country2
339,city10,state2,country1
340,city17,state7,country4
341,city3,state2,country4
342,city15,state7,country4
343,city14,state8,country0
344,city9,state1,country0
345,city8,state1,country1
346,city6,state2,country4
347,city10,state0,country2
348,city17,state4,country1
349,city5,state3,country3
350,city8,state3,country4
351,city9,state4,country4
352,city2,state2,country1
353,city0,state7,country3
354,city3,state8,country1
355,city0,state9,country0
356,city6,state0,country0
357,city4,state0,country1
358,city0,state2,country1
359,city3,state3,country3
360,city9,state1,country2
361,city7,state1,country4
362,city1,state0,country4
363,city16,state2,country1
364,city19,state0,country0
365,city15,state2,country2
366,city1,state5,country3
367,city3,state6,country2
368,city10,state1,country0
369,city2,state7,country4
370,city14,state3,country0
371,city16,state0,country4
372,city12,state9,country2
373,city2,state0,country2
374,city7,state1,country0
375,city13,state2,country3
376,city13,state1,country4
377,city16,state0,country4
378,city5,state9,country1
379,city8,state8,country2
380,city19,state2,country3
381,city14,state7,country3
382,city0,state6,country0
383,city15,state1,country2
384,city12,state9,country4
385,city2,state1,country0
386,city19,state8,country2
387,city10,state6,country2
388,city10,state4,country1
389,city0,state4,country1
390,city16,state0,country0
391,city16,state3,country1
392,city3,state9,country0
393,city11,state2,country1
394,city2,state1,country2
395,city7,state3,country0
396,city19,state9,country2
397,city8,state2,country2
398,city10,state3,country0
399,city17,state6,country2
400,city0,state9,country3
401,city1,state9,country2
402,city1,state3,country3
403,city0,state5,country0
404,city13,state2,country1
405,city10,state2,country3
406,city5,state9,country0
407,city8,state3,country4
408,city4,state3,country2
409,city0,state7,country0
410,city11,state8,country3
411,city6,state0,country2
412,city15,state3,country2
413,city5,state1,country2
414,city3,state4,country4
415,city13,state3,country4
416,city9,state2,country3
417,city8,state4,country3
418,city12,state4,country3
419,city3,state5,country3
420,city19,state2,country3
421,city10,state0,country3
422,city0,state5,country0
423,city19,state3,country1
424,city11,state8,country4
425,city0,state0,country3
426,city11,state1,country2
427,city14,state4,country1
428,city19,state0,country2
429,city1,state6,country0
430,city13,state3,country2
431,city10,state7,country2
432,city17,state0,country3
433,city6,state1,country4
434,city19,state0,country3
435,city16,state3,country1
436,city6,state0,country4
437,city6,state7,country0
438,city11,state3,country3
439,city8,state0,country1
440,city5,state3,country2
441,city3,state2,country4
442,city13,state8,country1
443,city4,state8,country2
444,city3,state5,country2
445,city4,state9,country0
446,city2,state2,country1
447,city9,state9,country4
448,city3,state5,country0
449,city15,state4,country0
450,city1,state2,country2
451,city3,state7,country4
452,city10,state9,country2
453,city3,state4,country3
454,city18,state1,country3
455,city15,state3,country4
456,city16,state1,country2
457,city14,state5,country0
458,city5,state8,country0
459,city8,state0,country3
460,city4,state7,country4
461,city7,state6,country0
462,city9,state5,country0
463,city3,state7,country2
464,city13,state6,country0
465,city1,state1,country2
466,city10,state1,country3
467,city14,state3,country4
468,city1,state7,country2
469,city4,state2,country3
470,city2,state6,country0
471,city0,state5,country2
472,city2,state8,country3
473,city2,state4,country0
474,city9,state9,country2
475,city14,state7,country0
476,city8,state6,country0
477,city19,state7,country2
478,city3,state0,country1
479,city1,state6,country4
480,city10,state6,country4
481,city6,state4,country3
482,city1,state7,country1
483,city7,state8,country3
484,city2,state5,country0
485,city19,state9,country3
486,city6,state9,country2
487,city7,state4,country3
488,city17,state9,country4
489,city12,state5,country2
490,city19,state4,country4
491,city8,state7,country3
492,city19,state7,country3
493,city1,state7,country1
494,city2,state6,country4
495,city16,state1,country2
496,city8,state9,country1
497,city6,state1,country1
498,city15,state1,country3
499,city18,state6,country2
500,city1,state2,country2
501,city17,state9,country3
502,city2,state9,country3
