Id:START_ID|Tags:END_ID
4|c#
4|floating-point
4|type-conversion
4|double
4|decimal
6|html
6|css
6|css3
6|internet-explorer-7
9|c#
9|.net
9|datetime
11|c#
11|datetime
11|time
11|datediff
11|relative-time-span
13|html
13|browser
13|timezone
13|user-agent
13|timezone-offset
14|.net
14|math
56412349|c++
56412349|stdvector
56412352|jquery
56412352|jquery-validate
56412354|java
56412354|android
56412354|android-studio
56412355|javascript
56412355|jquery
56412355|html
56412356|javascript
56412356|amazon-s3
56412356|stream
