Id:ID|Score:UINT|CreationYear:INT|CreationMonth:INT|CreationDay:INT|CreationHour:INT|CreationMinute:INT|CreationSecond:INT
2|8|2008|09|06|08|09|52
4|0|2008|09|06|08|42|16
10|6|2008|09|06|13|38|23
12|3|2008|09|06|13|51|47
14|0|2008|09|06|14|15|46
15|0|2008|09|06|14|30|40
16|1|2008|09|06|14|42|35
18|2|2008|09|06|15|02|40
99422942|0|2019|06|02|07|54|26
99422943|0|2019|06|02|07|54|27
99422945|0|2019|06|02|07|54|34
99422946|0|2019|06|02|07|54|35
99422947|0|2019|06|02|07|54|38
99422948|0|2019|06|02|07|54|50
99422949|0|2019|06|02|07|54|53
99422950|0|2019|06|02|07|54|55
99422951|0|2019|06|02|07|54|59
