Id:ID|CommunityOwnedYear:INT|CommunityOwnedMonth:INT|CommunityOwnedDay:INT|CommunityOwnedHour:INT|CommunityOwnedMinute:INT|CommunityOwnedSecond:INT|CommentCount:UINT|ViewCount:UINT|CreationYear:INT|CreationMonth:INT|CreationDay:INT|CreationHour:INT|CreationMinute:INT|CreationSecond:INT|ClosedYear:INT|ClosedMonth:INT|ClosedDay:INT|ClosedHour:INT|ClosedMinute:INT|ClosedSecond:INT|LastActivityYear:INT|LastActivityMonth:INT|LastActivityDay:INT|LastActivityHour:INT|LastActivityMinute:INT|LastActivitySecond:INT|PostTypeId:UINT|Score:INT|LastEditYear:INT|LastEditMonth:INT|LastEditDay:INT|LastEditHour:INT|LastEditMinute:INT|LastEditSecond:INT|FavoriteCount:UINT|AnswerCount:UINT
4|2012|10|31|16|42|47|1|40863|2008|07|31|21|42|52|||||||2019|01|17|13|39|48|1|617|2018|07|02|17|55|27|46|13
6|||||||0|17804|2008|07|31|22|08|08|||||||2018|12|15|03|57|18|1|276|2016|03|19|06|05|48|10|6
7|||||||0||2008|07|31|22|17|57|||||||2017|12|16|05|06|57|2|420|2017|12|16|05|06|57||
9|2011|08|16|19|40|43|7|538212|2008|07|31|23|40|59|||||||2019|04|23|10|06|49|1|1742|2018|04|21|17|48|14|424|63
11|2009|09|04|13|15|59|3|146339|2008|07|31|23|55|37|||||||2019|05|26|02|31|53|1|1428|2017|06|04|15|51|19|537|37
12|2009|09|04|13|15|59|11||2008|07|31|23|56|41|||||||2018|01|12|16|10|22|2|326|2018|01|12|16|10|22||
13|||||||10|171063|2008|08|01|00|42|38|||||||2019|05|14|16|02|10|1|574|2018|12|24|22|47|42|145|24
14|||||||4|119555|2008|08|01|00|59|11|||||||2018|09|19|03|49|19|1|393|2017|02|25|17|42|17|56|10
56412348|||||||0||2019|06|02|05|08|24|||||||2019|06|02|05|08|24|2|0||||||||
56412349|||||||0|3|2019|06|02|05|08|28|||||||2019|06|02|05|08|28|1|0||||||||0
56412350|||||||0||2019|06|02|05|08|46|||||||2019|06|02|05|08|46|2|0||||||||
56412351|||||||0||2019|06|02|05|09|00|||||||2019|06|02|05|09|00|2|0||||||||
56412352|||||||0|2|2019|06|02|05|09|09|||||||2019|06|02|05|09|09|1|0||||||||0
56412353|||||||0||2019|06|02|05|09|09|||||||2019|06|02|05|09|09|2|0||||||||
56412354|||||||0|2|2019|06|02|05|09|10|||||||2019|06|02|05|09|10|1|0||||||||0
56412355|||||||0|2|2019|06|02|05|09|19|||||||2019|06|02|05|09|19|1|0||||||||0
56412356|||||||0|1|2019|06|02|05|09|24|||||||2019|06|02|05|09|24|1|0||||||||0
